分钟,路口号+车道号,车流量
2024-10-20 15:07:00,NE,2
2024-10-20 15:07:00,NS,12
2024-10-20 15:07:00,SN,8
2024-10-20 15:07:00,SW,14
2024-10-20 15:07:00,WE,14
2024-10-20 15:07:00,WN,2
2024-10-20 15:08:00,ES,4
2024-10-20 15:08:00,EW,4
2024-10-20 15:08:00,NE,4
2024-10-20 15:08:00,NS,8
2024-10-20 15:08:00,SN,5
2024-10-20 15:08:00,SW,5
2024-10-20 15:08:00,WE,11
2024-10-20 15:08:00,WN,3
2024-10-20 15:09:00,EW,6
2024-10-20 15:09:00,NE,1
2024-10-20 15:09:00,NS,8
2024-10-20 15:09:00,SN,10
2024-10-20 15:09:00,SW,13
2024-10-20 15:09:00,WE,14
2024-10-20 15:09:00,WN,2
2024-10-20 15:10:00,EW,1
2024-10-20 15:10:00,NS,10
2024-10-20 15:10:00,SN,13
2024-10-20 15:10:00,SW,7
2024-10-20 15:10:00,WE,8
2024-10-20 15:10:00,WN,1
2024-10-20 15:11:00,ES,3
2024-10-20 15:11:00,EW,6
2024-10-20 15:11:00,NE,1
2024-10-20 15:11:00,NS,12
2024-10-20 15:11:00,SN,11
2024-10-20 15:11:00,SW,5
2024-10-20 15:11:00,WE,17
2024-10-20 15:11:00,WN,7
2024-10-20 15:12:00,ES,1
2024-10-20 15:12:00,EW,3
2024-10-20 15:12:00,NE,1
2024-10-20 15:12:00,NS,6
2024-10-20 15:12:00,SN,4
2024-10-20 15:12:00,SW,15
2024-10-20 15:12:00,WE,9
2024-10-20 15:12:00,WN,8
2024-10-20 15:13:00,ES,2
2024-10-20 15:13:00,EW,5
2024-10-20 15:13:00,NE,2
2024-10-20 15:13:00,NS,12
2024-10-20 15:13:00,SN,2
2024-10-20 15:13:00,SW,5
2024-10-20 15:13:00,WE,9
2024-10-20 15:13:00,WN,3
2024-10-20 15:14:00,EW,6
2024-10-20 15:14:00,NE,1
2024-10-20 15:14:00,NS,6
2024-10-20 15:14:00,SN,7
2024-10-20 15:14:00,SW,6
2024-10-20 15:14:00,WE,5
2024-10-20 15:14:00,WN,2
2024-10-20 15:15:00,ES,2
2024-10-20 15:15:00,NS,5
2024-10-20 15:15:00,SN,6
2024-10-20 15:15:00,SW,7
2024-10-20 15:15:00,WE,10
2024-10-20 15:15:00,WN,5
2024-10-20 15:16:00,ES,2
2024-10-20 15:16:00,EW,9
2024-10-20 15:16:00,NE,2
2024-10-20 15:16:00,NS,9
2024-10-20 15:16:00,SN,7
2024-10-20 15:16:00,SW,10
2024-10-20 15:16:00,WE,6
2024-10-20 15:16:00,WN,4
2024-10-20 15:17:00,ES,1
2024-10-20 15:17:00,EW,2
2024-10-20 15:17:00,NS,6
2024-10-20 15:17:00,SN,5
2024-10-20 15:17:00,SW,2
2024-10-20 15:17:00,WE,12
2024-10-20 15:17:00,WN,6
2024-10-20 15:18:00,ES,1
2024-10-20 15:18:00,EW,6
2024-10-20 15:18:00,NE,1
2024-10-20 15:18:00,NS,8
2024-10-20 15:18:00,SN,6
2024-10-20 15:18:00,SW,1
2024-10-20 15:18:00,WE,9
2024-10-20 15:18:00,WN,2
2024-10-20 15:19:00,ES,1
2024-10-20 15:19:00,EW,6
2024-10-20 15:19:00,NE,1
2024-10-20 15:19:00,NS,3
2024-10-20 15:19:00,SN,2
2024-10-20 15:19:00,SW,7
2024-10-20 15:19:00,WE,16
2024-10-20 15:19:00,WN,4
2024-10-20 15:20:00,ES,2
2024-10-20 15:20:00,EW,11
2024-10-20 15:20:00,NE,2
2024-10-20 15:20:00,NS,6
2024-10-20 15:20:00,SN,11
2024-10-20 15:20:00,SW,6
2024-10-20 15:20:00,WE,13
2024-10-20 15:21:00,ES,2
2024-10-20 15:21:00,EW,5
2024-10-20 15:21:00,NS,8
2024-10-20 15:21:00,SN,1
2024-10-20 15:21:00,SW,7
2024-10-20 15:21:00,WE,18
2024-10-20 15:21:00,WN,4
2024-10-20 15:22:00,ES,3
2024-10-20 15:22:00,EW,6
2024-10-20 15:22:00,NE,1
2024-10-20 15:22:00,NS,16
2024-10-20 15:22:00,SN,14
2024-10-20 15:22:00,SW,8
2024-10-20 15:22:00,WE,10
2024-10-20 15:22:00,WN,5
2024-10-20 15:23:00,EW,8
2024-10-20 15:23:00,NE,2
2024-10-20 15:23:00,NS,5
2024-10-20 15:23:00,SN,2
2024-10-20 15:23:00,SW,2
2024-10-20 15:23:00,WE,17
2024-10-20 15:23:00,WN,3
2024-10-20 15:24:00,ES,2
2024-10-20 15:24:00,EW,11
2024-10-20 15:24:00,NE,1
2024-10-20 15:24:00,NS,13
2024-10-20 15:24:00,SN,7
2024-10-20 15:24:00,SW,6
2024-10-20 15:24:00,WE,10
2024-10-20 15:24:00,WN,1
2024-10-20 15:25:00,ES,1
2024-10-20 15:25:00,EW,3
2024-10-20 15:25:00,NE,1
2024-10-20 15:25:00,NS,6
2024-10-20 15:25:00,SN,4
2024-10-20 15:25:00,SW,3
2024-10-20 15:25:00,WE,7
2024-10-20 15:25:00,WN,2
2024-10-20 15:26:00,ES,2
2024-10-20 15:26:00,EW,2
2024-10-20 15:26:00,NE,1
2024-10-20 15:26:00,NS,12
2024-10-20 15:26:00,SN,5
2024-10-20 15:26:00,SW,5
2024-10-20 15:26:00,WE,11
2024-10-20 15:26:00,WN,2
2024-10-20 15:27:00,ES,1
2024-10-20 15:27:00,EW,8
2024-10-20 15:27:00,NE,1
2024-10-20 15:27:00,NS,11
2024-10-20 15:27:00,SN,6
2024-10-20 15:27:00,SW,2
2024-10-20 15:27:00,WE,13
2024-10-20 15:27:00,WN,2
2024-10-20 15:28:00,ES,1
2024-10-20 15:28:00,EW,1
2024-10-20 15:28:00,NE,3
2024-10-20 15:28:00,NS,14
2024-10-20 15:28:00,SN,6
2024-10-20 15:28:00,SW,4
2024-10-20 15:28:00,WE,10
2024-10-20 15:29:00,ES,4
2024-10-20 15:29:00,EW,11
2024-10-20 15:29:00,NE,2
2024-10-20 15:29:00,NS,4
2024-10-20 15:29:00,SN,10
2024-10-20 15:29:00,SW,9
2024-10-20 15:29:00,WE,15
2024-10-20 15:29:00,WN,3
2024-10-20 15:30:00,EW,3
2024-10-20 15:30:00,NE,1
2024-10-20 15:30:00,NS,9
2024-10-20 15:30:00,SN,6
2024-10-20 15:30:00,SW,1
2024-10-20 15:30:00,WE,7
2024-10-20 15:30:00,WN,7
2024-10-20 15:31:00,ES,1
2024-10-20 15:31:00,EW,3
2024-10-20 15:31:00,NS,19
2024-10-20 15:31:00,SN,8
2024-10-20 15:31:00,SW,10
2024-10-20 15:31:00,WE,11
2024-10-20 15:32:00,ES,5
2024-10-20 15:32:00,EW,14
2024-10-20 15:32:00,NS,8
2024-10-20 15:32:00,SW,6
2024-10-20 15:32:00,WE,16
2024-10-20 15:32:00,WN,1
2024-10-20 15:33:00,EW,1
2024-10-20 15:33:00,NE,2
2024-10-20 15:33:00,NS,13
2024-10-20 15:33:00,SN,9
2024-10-20 15:33:00,SW,6
2024-10-20 15:33:00,WE,15
2024-10-20 15:33:00,WN,3
2024-10-20 15:34:00,ES,3
2024-10-20 15:34:00,EW,11
2024-10-20 15:34:00,NS,11
2024-10-20 15:34:00,SN,8
2024-10-20 15:34:00,SW,8
2024-10-20 15:34:00,WE,14
2024-10-20 15:34:00,WN,6
2024-10-20 15:35:00,ES,2
2024-10-20 15:35:00,EW,4
2024-10-20 15:35:00,NE,1
2024-10-20 15:35:00,NS,9
2024-10-20 15:35:00,SN,6
2024-10-20 15:35:00,SW,2
2024-10-20 15:35:00,WE,14
2024-10-20 15:35:00,WN,3
2024-10-20 15:36:00,ES,1
2024-10-20 15:36:00,EW,3
2024-10-20 15:36:00,NE,2
2024-10-20 15:36:00,NS,12
2024-10-20 15:36:00,SN,7
2024-10-20 15:36:00,SW,3
2024-10-20 15:36:00,WE,13
2024-10-20 15:36:00,WN,5
2024-10-20 15:37:00,ES,4
2024-10-20 15:37:00,EW,6
2024-10-20 15:37:00,NS,4
2024-10-20 15:37:00,SN,6
2024-10-20 15:37:00,SW,7
2024-10-20 15:37:00,WE,6
2024-10-20 15:37:00,WN,2
2024-10-20 15:38:00,ES,2
2024-10-20 15:38:00,EW,6
2024-10-20 15:38:00,NS,8
2024-10-20 15:38:00,SN,6
2024-10-20 15:38:00,SW,9
2024-10-20 15:38:00,WE,11
2024-10-20 15:38:00,WN,8
2024-10-20 15:39:00,ES,1
2024-10-20 15:39:00,EW,2
2024-10-20 15:39:00,NE,1
2024-10-20 15:39:00,NS,10
2024-10-20 15:39:00,SN,2
2024-10-20 15:39:00,SW,6
2024-10-20 15:39:00,WE,18
2024-10-20 15:39:00,WN,4
2024-10-20 15:40:00,ES,2
2024-10-20 15:40:00,EW,9
2024-10-20 15:40:00,NE,3
2024-10-20 15:40:00,NS,6
2024-10-20 15:40:00,SN,3
2024-10-20 15:40:00,SW,7
2024-10-20 15:40:00,WE,12
2024-10-20 15:40:00,WN,2
2024-10-20 15:41:00,ES,2
2024-10-20 15:41:00,EW,7
2024-10-20 15:41:00,NE,1
2024-10-20 15:41:00,NS,14
2024-10-20 15:41:00,SN,3
2024-10-20 15:41:00,SW,6
2024-10-20 15:41:00,WE,13
2024-10-20 15:41:00,WN,3
2024-10-20 15:42:00,ES,1
2024-10-20 15:42:00,EW,6
2024-10-20 15:42:00,NE,1
2024-10-20 15:42:00,NS,11
2024-10-20 15:42:00,SN,11
2024-10-20 15:42:00,SW,15
2024-10-20 15:42:00,WE,15
2024-10-20 15:42:00,WN,2
2024-10-20 15:43:00,ES,1
2024-10-20 15:43:00,EW,9
2024-10-20 15:43:00,NE,1
2024-10-20 15:43:00,NS,6
2024-10-20 15:43:00,SN,4
2024-10-20 15:43:00,SW,5
2024-10-20 15:43:00,WE,9
2024-10-20 15:43:00,WN,2
2024-10-20 15:44:00,EW,2
2024-10-20 15:44:00,NS,7
2024-10-20 15:44:00,SN,9
2024-10-20 15:44:00,SW,11
2024-10-20 15:44:00,WE,11
2024-10-20 15:44:00,WN,3
2024-10-20 15:45:00,ES,3
2024-10-20 15:45:00,EW,11
2024-10-20 15:45:00,NE,3
2024-10-20 15:45:00,NS,6
2024-10-20 15:45:00,SN,4
2024-10-20 15:45:00,SW,6
2024-10-20 15:45:00,WE,14
2024-10-20 15:45:00,WN,3
2024-10-20 15:46:00,ES,1
2024-10-20 15:46:00,EW,4
2024-10-20 15:46:00,NE,1
2024-10-20 15:46:00,NS,11
2024-10-20 15:46:00,SN,4
2024-10-20 15:46:00,SW,10
2024-10-20 15:46:00,WE,13
2024-10-20 15:46:00,WN,4
2024-10-20 15:47:00,ES,1
2024-10-20 15:47:00,EW,7
2024-10-20 15:47:00,NE,2
2024-10-20 15:47:00,NS,3
2024-10-20 15:47:00,SN,5
2024-10-20 15:47:00,SW,8
2024-10-20 15:47:00,WE,13
2024-10-20 15:47:00,WN,2
2024-10-20 15:48:00,ES,2
2024-10-20 15:48:00,EW,6
2024-10-20 15:48:00,NE,2
2024-10-20 15:48:00,NS,14
2024-10-20 15:48:00,SN,8
2024-10-20 15:48:00,SW,5
2024-10-20 15:48:00,WE,18
2024-10-20 15:48:00,WN,3
2024-10-20 15:49:00,ES,1
2024-10-20 15:49:00,EW,3
2024-10-20 15:49:00,NS,4
2024-10-20 15:49:00,SN,16
2024-10-20 15:49:00,SW,13
2024-10-20 15:49:00,WE,11
2024-10-20 15:49:00,WN,1
2024-10-20 15:50:00,ES,2
2024-10-20 15:50:00,EW,6
2024-10-20 15:50:00,NE,3
2024-10-20 15:50:00,NS,12
2024-10-20 15:50:00,SN,4
2024-10-20 15:50:00,SW,4
2024-10-20 15:50:00,WE,17
2024-10-20 15:50:00,WN,3
2024-10-20 15:51:00,ES,3
2024-10-20 15:51:00,EW,5
2024-10-20 15:51:00,NE,1
2024-10-20 15:51:00,NS,8
2024-10-20 15:51:00,SN,16
2024-10-20 15:51:00,SW,14
2024-10-20 15:51:00,WE,12
2024-10-20 15:51:00,WN,2
2024-10-20 15:52:00,EW,4
2024-10-20 15:52:00,NE,1
2024-10-20 15:52:00,NS,6
2024-10-20 15:52:00,SN,4
2024-10-20 15:52:00,SW,2
2024-10-20 15:52:00,WE,16
2024-10-20 15:52:00,WN,3
2024-10-20 15:53:00,ES,1
2024-10-20 15:53:00,EW,2
2024-10-20 15:53:00,NS,6
2024-10-20 15:53:00,SN,13
2024-10-20 15:53:00,SW,5
2024-10-20 15:53:00,WE,17
2024-10-20 15:53:00,WN,1
2024-10-20 15:54:00,ES,3
2024-10-20 15:54:00,EW,4
2024-10-20 15:54:00,NE,1
2024-10-20 15:54:00,NS,11
2024-10-20 15:54:00,SN,3
2024-10-20 15:54:00,SW,9
2024-10-20 15:54:00,WE,11
2024-10-20 15:54:00,WN,4
2024-10-20 15:55:00,ES,2
2024-10-20 15:55:00,NS,11
2024-10-20 15:55:00,SN,10
2024-10-20 15:55:00,SW,9
2024-10-20 15:55:00,WE,11
2024-10-20 15:55:00,WN,1
2024-10-20 15:56:00,ES,2
2024-10-20 15:56:00,EW,3
2024-10-20 15:56:00,NE,2
2024-10-20 15:56:00,NS,5
2024-10-20 15:56:00,SN,8
2024-10-20 15:56:00,SW,7
2024-10-20 15:56:00,WE,15
2024-10-20 15:56:00,WN,1
2024-10-20 15:57:00,ES,4
2024-10-20 15:57:00,EW,2
2024-10-20 15:57:00,NE,1
2024-10-20 15:57:00,NS,5
2024-10-20 15:57:00,SN,8
2024-10-20 15:57:00,SW,7
2024-10-20 15:57:00,WE,14
2024-10-20 15:57:00,WN,3
2024-10-20 15:58:00,ES,2
2024-10-20 15:58:00,EW,2
2024-10-20 15:58:00,NE,3
2024-10-20 15:58:00,NS,6
2024-10-20 15:58:00,SN,6
2024-10-20 15:58:00,SW,9
2024-10-20 15:58:00,WE,20
2024-10-20 15:58:00,WN,6
2024-10-20 15:59:00,ES,2
2024-10-20 15:59:00,EW,2
2024-10-20 15:59:00,NE,1
2024-10-20 15:59:00,NS,5
2024-10-20 15:59:00,SN,8
2024-10-20 15:59:00,SW,13
2024-10-20 15:59:00,WE,11
2024-10-20 15:59:00,WN,1
2024-10-20 16:00:00,ES,2
2024-10-20 16:00:00,EW,3
2024-10-20 16:00:00,NE,1
2024-10-20 16:00:00,NS,8
2024-10-20 16:00:00,SN,13
2024-10-20 16:00:00,SW,6
2024-10-20 16:00:00,WE,17
2024-10-20 16:00:00,WN,5
2024-10-20 16:01:00,ES,5
2024-10-20 16:01:00,EW,3
2024-10-20 16:01:00,NS,2
2024-10-20 16:01:00,SN,8
2024-10-20 16:01:00,SW,9
2024-10-20 16:01:00,WE,11
2024-10-20 16:01:00,WN,1
2024-10-20 16:02:00,ES,2
2024-10-20 16:02:00,EW,6
2024-10-20 16:02:00,NE,1
2024-10-20 16:02:00,NS,8
2024-10-20 16:02:00,SN,14
2024-10-20 16:02:00,SW,10
2024-10-20 16:02:00,WE,9
2024-10-20 16:02:00,WN,2
2024-10-20 16:03:00,ES,2
2024-10-20 16:03:00,EW,5
2024-10-20 16:03:00,NE,1
2024-10-20 16:03:00,NS,14
2024-10-20 16:03:00,SN,3
2024-10-20 16:03:00,SW,6
2024-10-20 16:03:00,WE,10
2024-10-20 16:03:00,WN,6
2024-10-20 16:04:00,ES,1
2024-10-20 16:04:00,EW,7
2024-10-20 16:04:00,NE,4
2024-10-20 16:04:00,NS,7
2024-10-20 16:04:00,SN,13
2024-10-20 16:04:00,SW,8
2024-10-20 16:04:00,WE,10
2024-10-20 16:04:00,WN,3
2024-10-20 16:05:00,ES,1
2024-10-20 16:05:00,EW,3
2024-10-20 16:05:00,NE,1
2024-10-20 16:05:00,NS,5
2024-10-20 16:05:00,SN,3
2024-10-20 16:05:00,SW,4
2024-10-20 16:05:00,WE,16
2024-10-20 16:05:00,WN,2
2024-10-20 16:06:00,EW,1
2024-10-20 16:06:00,NE,1
2024-10-20 16:06:00,NS,6
2024-10-20 16:06:00,SN,9
2024-10-20 16:06:00,SW,8
2024-10-20 16:06:00,WE,16
2024-10-20 16:06:00,WN,3
2024-10-20 16:07:00,ES,2
2024-10-20 16:07:00,EW,8
2024-10-20 16:07:00,NS,10
2024-10-20 16:07:00,SN,4
2024-10-20 16:07:00,SW,4
2024-10-20 16:07:00,WE,17
2024-10-20 16:07:00,WN,4
2024-10-20 16:08:00,ES,1
2024-10-20 16:08:00,EW,4
2024-10-20 16:08:00,NE,4
2024-10-20 16:08:00,NS,7
2024-10-20 16:08:00,SN,12
2024-10-20 16:08:00,SW,5
2024-10-20 16:08:00,WE,7
2024-10-20 16:08:00,WN,3
2024-10-20 16:09:00,ES,3
2024-10-20 16:09:00,EW,3
2024-10-20 16:09:00,NE,3
2024-10-20 16:09:00,NS,7
2024-10-20 16:09:00,SN,7
2024-10-20 16:09:00,SW,7
2024-10-20 16:09:00,WE,15
2024-10-20 16:09:00,WN,4
2024-10-20 16:10:00,EW,7
2024-10-20 16:10:00,NE,1
2024-10-20 16:10:00,NS,8
2024-10-20 16:10:00,SN,6
2024-10-20 16:10:00,SW,7
2024-10-20 16:10:00,WE,8
2024-10-20 16:10:00,WN,8
2024-10-20 16:11:00,ES,2
2024-10-20 16:11:00,EW,4
2024-10-20 16:11:00,NE,3
2024-10-20 16:11:00,NS,5
2024-10-20 16:11:00,SN,6
2024-10-20 16:11:00,SW,14
2024-10-20 16:11:00,WE,13
2024-10-20 16:11:00,WN,2
2024-10-20 16:12:00,ES,3
2024-10-20 16:12:00,EW,6
2024-10-20 16:12:00,NE,1
2024-10-20 16:12:00,NS,10
2024-10-20 16:12:00,SN,6
2024-10-20 16:12:00,SW,3
2024-10-20 16:12:00,WE,15
2024-10-20 16:12:00,WN,6
2024-10-20 16:13:00,EW,3
2024-10-20 16:13:00,NE,2
2024-10-20 16:13:00,NS,7
2024-10-20 16:13:00,SN,9
2024-10-20 16:13:00,SW,16
2024-10-20 16:13:00,WE,12
2024-10-20 16:13:00,WN,2
2024-10-20 16:14:00,ES,2
2024-10-20 16:14:00,EW,5
2024-10-20 16:14:00,NE,1
2024-10-20 16:14:00,NS,7
2024-10-20 16:14:00,SN,4
2024-10-20 16:14:00,SW,1
2024-10-20 16:14:00,WE,13
2024-10-20 16:14:00,WN,2
2024-10-20 16:15:00,ES,1
2024-10-20 16:15:00,EW,5
2024-10-20 16:15:00,NE,1
2024-10-20 16:15:00,NS,2
2024-10-20 16:15:00,SN,12
2024-10-20 16:15:00,SW,9
2024-10-20 16:15:00,WE,18
2024-10-20 16:15:00,WN,2
2024-10-20 16:16:00,ES,2
2024-10-20 16:16:00,EW,1
2024-10-20 16:16:00,NS,11
2024-10-20 16:16:00,SN,3
2024-10-20 16:16:00,SW,7
2024-10-20 16:16:00,WE,9
2024-10-20 16:16:00,WN,9
2024-10-20 16:17:00,ES,5
2024-10-20 16:17:00,EW,8
2024-10-20 16:17:00,NE,1
2024-10-20 16:17:00,NS,7
2024-10-20 16:17:00,SN,12
2024-10-20 16:17:00,SW,15
2024-10-20 16:17:00,WE,19
2024-10-20 16:17:00,WN,4
2024-10-20 16:18:00,ES,1
2024-10-20 16:18:00,EW,7
2024-10-20 16:18:00,NE,2
2024-10-20 16:18:00,NS,12
2024-10-20 16:18:00,SN,11
2024-10-20 16:18:00,SW,7
2024-10-20 16:18:00,WE,8
2024-10-20 16:18:00,WN,2
2024-10-20 16:19:00,EW,8
2024-10-20 16:19:00,NE,2
2024-10-20 16:19:00,NS,10
2024-10-20 16:19:00,SN,11
2024-10-20 16:19:00,SW,7
2024-10-20 16:19:00,WE,16
2024-10-20 16:19:00,WN,4
2024-10-20 16:20:00,ES,5
2024-10-20 16:20:00,EW,5
2024-10-20 16:20:00,NE,2
2024-10-20 16:20:00,NS,10
2024-10-20 16:20:00,SN,4
2024-10-20 16:20:00,SW,4
2024-10-20 16:20:00,WE,18
2024-10-20 16:20:00,WN,1
2024-10-20 16:21:00,ES,2
2024-10-20 16:21:00,EW,3
2024-10-20 16:21:00,NE,1
2024-10-20 16:21:00,NS,4
2024-10-20 16:21:00,SN,6
2024-10-20 16:21:00,SW,4
2024-10-20 16:21:00,WE,14
2024-10-20 16:21:00,WN,9
2024-10-20 16:22:00,ES,4
2024-10-20 16:22:00,EW,1
2024-10-20 16:22:00,NS,13
2024-10-20 16:22:00,SN,8
2024-10-20 16:22:00,SW,12
2024-10-20 16:22:00,WE,14
2024-10-20 16:22:00,WN,2
2024-10-20 16:23:00,ES,3
2024-10-20 16:23:00,EW,9
2024-10-20 16:23:00,NS,6
2024-10-20 16:23:00,SN,6
2024-10-20 16:23:00,SW,7
2024-10-20 16:23:00,WE,15
2024-10-20 16:23:00,WN,5
2024-10-20 16:24:00,ES,1
2024-10-20 16:24:00,EW,3
2024-10-20 16:24:00,NS,7
2024-10-20 16:24:00,SN,6
2024-10-20 16:24:00,SW,15
2024-10-20 16:24:00,WE,14
2024-10-20 16:24:00,WN,4
2024-10-20 16:25:00,ES,5
2024-10-20 16:25:00,EW,10
2024-10-20 16:25:00,NE,2
2024-10-20 16:25:00,NS,10
2024-10-20 16:25:00,SN,5
2024-10-20 16:25:00,SW,6
2024-10-20 16:25:00,WE,10
2024-10-20 16:25:00,WN,3
2024-10-20 16:26:00,ES,1
2024-10-20 16:26:00,EW,5
2024-10-20 16:26:00,NS,6
2024-10-20 16:26:00,SN,8
2024-10-20 16:26:00,SW,8
2024-10-20 16:26:00,WE,11
2024-10-20 16:26:00,WN,5
2024-10-20 16:27:00,ES,1
2024-10-20 16:27:00,EW,4
2024-10-20 16:27:00,NE,1
2024-10-20 16:27:00,NS,8
2024-10-20 16:27:00,SN,5
2024-10-20 16:27:00,WE,10
2024-10-20 16:27:00,WN,2
2024-10-20 16:28:00,ES,2
2024-10-20 16:28:00,EW,4
2024-10-20 16:28:00,NS,6
2024-10-20 16:28:00,SN,9
2024-10-20 16:28:00,SW,7
2024-10-20 16:28:00,WE,13
2024-10-20 16:28:00,WN,3
2024-10-20 16:29:00,ES,1
2024-10-20 16:29:00,EW,4
2024-10-20 16:29:00,NS,14
2024-10-20 16:29:00,SN,1
2024-10-20 16:29:00,SW,1
2024-10-20 16:29:00,WE,18
2024-10-20 16:29:00,WN,3
2024-10-20 16:30:00,ES,4
2024-10-20 16:30:00,EW,2
2024-10-20 16:30:00,NE,1
2024-10-20 16:30:00,NS,6
2024-10-20 16:30:00,SN,3
2024-10-20 16:30:00,SW,6
2024-10-20 16:30:00,WE,15
2024-10-20 16:30:00,WN,4
2024-10-20 16:31:00,ES,1
2024-10-20 16:31:00,EW,8
2024-10-20 16:31:00,NS,12
2024-10-20 16:31:00,SN,6
2024-10-20 16:31:00,SW,3
2024-10-20 16:31:00,WE,12
2024-10-20 16:31:00,WN,5
2024-10-20 16:32:00,EW,1
2024-10-20 16:32:00,NE,1
2024-10-20 16:32:00,NS,4
2024-10-20 16:32:00,SN,5
2024-10-20 16:32:00,SW,4
2024-10-20 16:32:00,WE,21
2024-10-20 16:32:00,WN,4
2024-10-20 16:33:00,ES,1
2024-10-20 16:33:00,EW,7
2024-10-20 16:33:00,NE,1
2024-10-20 16:33:00,NS,12
2024-10-20 16:33:00,SN,9
2024-10-20 16:33:00,SW,8
2024-10-20 16:33:00,WE,10
2024-10-20 16:33:00,WN,2
2024-10-20 16:34:00,ES,2
2024-10-20 16:34:00,EW,5
2024-10-20 16:34:00,NE,3
2024-10-20 16:34:00,NS,4
2024-10-20 16:34:00,SN,5
2024-10-20 16:34:00,SW,3
2024-10-20 16:34:00,WE,28
2024-10-20 16:34:00,WN,4
2024-10-20 16:35:00,ES,1
2024-10-20 16:35:00,EW,1
2024-10-20 16:35:00,NE,2
2024-10-20 16:35:00,NS,8
2024-10-20 16:35:00,SN,8
2024-10-20 16:35:00,SW,6
2024-10-20 16:35:00,WE,13
2024-10-20 16:35:00,WN,4
2024-10-20 16:36:00,ES,2
2024-10-20 16:36:00,EW,5
2024-10-20 16:36:00,NE,2
2024-10-20 16:36:00,NS,12
2024-10-20 16:36:00,SN,2
2024-10-20 16:36:00,SW,2
2024-10-20 16:36:00,WE,28
2024-10-20 16:36:00,WN,4
2024-10-20 16:37:00,EW,4
2024-10-20 16:37:00,NE,1
2024-10-20 16:37:00,NS,7
2024-10-20 16:37:00,SN,9
2024-10-20 16:37:00,SW,4
2024-10-20 16:37:00,WE,8
2024-10-20 16:37:00,WN,6
2024-10-20 16:38:00,ES,2
2024-10-20 16:38:00,EW,5
2024-10-20 16:38:00,NE,1
2024-10-20 16:38:00,NS,8
2024-10-20 16:38:00,SN,4
2024-10-20 16:38:00,SW,9
2024-10-20 16:38:00,WE,14
2024-10-20 16:38:00,WN,2
2024-10-20 16:39:00,ES,2
2024-10-20 16:39:00,EW,6
2024-10-20 16:39:00,NE,3
2024-10-20 16:39:00,NS,12
2024-10-20 16:39:00,SN,6
2024-10-20 16:39:00,SW,4
2024-10-20 16:39:00,WE,5
2024-10-20 16:40:00,ES,4
2024-10-20 16:40:00,EW,5
2024-10-20 16:40:00,NE,2
2024-10-20 16:40:00,NS,7
2024-10-20 16:40:00,SN,2
2024-10-20 16:40:00,SW,8
2024-10-20 16:40:00,WE,18
2024-10-20 16:40:00,WN,3
2024-10-20 16:41:00,ES,3
2024-10-20 16:41:00,EW,11
2024-10-20 16:41:00,NE,3
2024-10-20 16:41:00,NS,5
2024-10-20 16:41:00,SN,11
2024-10-20 16:41:00,SW,5
2024-10-20 16:41:00,WE,17
2024-10-20 16:41:00,WN,1
2024-10-20 16:42:00,ES,2
2024-10-20 16:42:00,EW,3
2024-10-20 16:42:00,NE,4
2024-10-20 16:42:00,NS,10
2024-10-20 16:42:00,SN,11
2024-10-20 16:42:00,SW,3
2024-10-20 16:42:00,WE,15
2024-10-20 16:42:00,WN,3
2024-10-20 16:43:00,ES,2
2024-10-20 16:43:00,EW,2
2024-10-20 16:43:00,NS,7
2024-10-20 16:43:00,SN,4
2024-10-20 16:43:00,SW,5
2024-10-20 16:43:00,WE,14
2024-10-20 16:43:00,WN,3
2024-10-20 16:44:00,ES,4
2024-10-20 16:44:00,EW,5
2024-10-20 16:44:00,NE,1
2024-10-20 16:44:00,NS,13
2024-10-20 16:44:00,SN,7
2024-10-20 16:44:00,SW,4
2024-10-20 16:44:00,WE,16
2024-10-20 16:44:00,WN,3
2024-10-20 16:45:00,ES,1
2024-10-20 16:45:00,EW,3
2024-10-20 16:45:00,NE,1
2024-10-20 16:45:00,NS,2
2024-10-20 16:45:00,SN,8
2024-10-20 16:45:00,SW,1
2024-10-20 16:45:00,WE,15
2024-10-20 16:45:00,WN,4
2024-10-20 16:46:00,ES,2
2024-10-20 16:46:00,NS,13
2024-10-20 16:46:00,SN,7
2024-10-20 16:46:00,SW,1
2024-10-20 16:46:00,WE,24
2024-10-20 16:46:00,WN,7
2024-10-20 16:47:00,ES,4
2024-10-20 16:47:00,EW,4
2024-10-20 16:47:00,NS,11
2024-10-20 16:47:00,SN,1
2024-10-20 16:47:00,SW,3
2024-10-20 16:47:00,WE,13
2024-10-20 16:47:00,WN,2
2024-10-20 16:48:00,EW,1
2024-10-20 16:48:00,NS,9
2024-10-20 16:48:00,SN,7
2024-10-20 16:48:00,SW,9
2024-10-20 16:48:00,WE,8
2024-10-20 16:48:00,WN,1
2024-10-20 16:49:00,ES,5
2024-10-20 16:49:00,EW,7
2024-10-20 16:49:00,NS,12
2024-10-20 16:49:00,SN,2
2024-10-20 16:49:00,SW,3
2024-10-20 16:49:00,WE,14
2024-10-20 16:49:00,WN,4
2024-10-20 16:50:00,ES,6
2024-10-20 16:50:00,EW,5
2024-10-20 16:50:00,NE,1
2024-10-20 16:50:00,NS,6
2024-10-20 16:50:00,SN,3
2024-10-20 16:50:00,SW,3
